ply,side,n_legal,n_qualified,v_root,q1,q2,gap,F_gap,eff_actions,ease_entropy,F_tree_gap,F_flat_gap,F_tree_entropy,F_flat_entropy,best_move,fen,gap_hi
66,white,3,3,0.5889,0.6337,0.6203,0.0134,0.6513,1.956,0.6105,0.2125,0.2435,0.2411,0.2746,d4e3,3k1r2/1r1p2pp/1pb2P2/p7/P1QB4/1P1Kq2P/8/6NB w - - 0 1,0.0526
80,white,43,8,1.0,1.0,1.0,0.0,1.0,8.0,1.0,0.9997,0.9998,1.0,1.0,f2f3,8/p3Q1R1/p7/2P5/4B3/k1P5/5PK1/8 w - - 0 1,0.0
81,black,10,8,-1.0,-1.0,-1.0,0.0,0.9999,8.0,1.0,0.9999,0.9999,1.0,1.0,f7g6,8/5k2/5p2/3pp3/6p1/4Q1P1/5P1P/1R4KR b - - 0 1,0.0008
75,black,31,9,0.8703,0.9146,0.8802,0.0343,0.3338,4.978,0.7304,0.2845,0.2553,0.4125,0.3937,d7d4,8/rqprk3/4p3/8/p2P4/P3N3/RP2K3/5N2 b - - 0 1,0.0583
18,white,48,8,0.7259,0.9375,0.812,0.1255,0.0181,1.098,0.0448,0.299,0.3458,0.3398,0.3128,b5c7,2bqkbnr/3ppp1p/r5p1/1Np5/1p1PPB1P/5N2/PP3PP1/R2QKB1R w KQk c6 0 1,0.1368
17,black,38,9,-0.1268,0.054,-0.0144,0.0684,0.1123,1.498,0.184,0.1412,0.1707,0.2238,0.2956,h7h6,r1bqkbnr/p1p4p/1p3p2/2pPp1p1/3nP3/5N1P/PP3PP1/RNBQKB1R b kq - 0 1,0.1455
82,white,39,8,0.9881,0.9984,0.9981,0.0003,0.9919,7.094,0.9422,0.8174,0.8053,0.9317,0.939,c1b1,2b5/7k/1p2Pb2/1p1B4/1P1P4/P1BK3P/8/2R3R1 w - - 0 1,0.0009
83,black,30,8,-0.528,-0.4518,-0.4537,0.0019,0.9418,2.592,0.4581,0.1207,0.0958,0.1759,0.1591,d6g3,5k2/5n2/p2q4/2p5/8/4N3/PP1P1N2/1RBK3R b - - 0 1,0.0839
83,black,33,8,0.7332,1.0,0.4552,0.5448,0.0,1.0,0.0,0.1564,0.1876,0.1918,0.1381,g8h8,2r3r1/5k2/p3n3/1p5K/1P4R1/P4P1N/3P4/8 b - - 0 1,0.5448
84,white,25,8,0.5294,0.7225,0.5592,0.1632,0.0054,1.036,0.017,0.1628,0.0989,0.2284,0.155,c2b2,4B3/1k6/6p1/6PP/8/4r3/1pR3KR/4b3 w - - 0 1,0.1282
53,black,19,8,-0.9969,-0.9713,-0.9975,0.0263,0.432,7.482,0.9678,0.8626,0.7484,0.9841,0.9687,b5a4,7r/2Q5/p2pk3/1p6/NP1P4/P4B2/2P2P2/R3K3 b Q - 0 1,0.0019
78,white,15,8,-0.4192,-0.3122,-0.3796,0.0674,0.1159,2.057,0.3468,0.2801,0.3601,0.3455,0.3537,b3a3,5k2/p7/5P1p/8/1Pq2P2/1R4P1/2P5/3K4 w - - 0 1,0.0178
86,white,19,9,-0.2169,-0.0677,-0.0865,0.0188,0.5479,3.301,0.5434,0.2748,0.2941,0.3222,0.2767,h3g5,8/2p5/5n2/1P1pk3/pB1Rp2p/2P4N/q6P/6K1 w - - 0 1,0.002
87,black,25,9,-0.0473,0.0321,0.0171,0.015,0.6191,3.313,0.5451,0.3976,0.5638,0.5231,0.5575,e7b7,2k5/4r3/p4n2/5p2/1PP2P2/3R4/P1K3B1/8 b - - 0 1,0.004
63,black,42,8,0.6846,0.8645,0.6095,0.2551,0.0003,1.005,0.0023,0.1582,0.1697,0.1898,0.2107,c5b3,6nr/Np1kb3/3q4/P1n2p2/3Pbppp/2P4P/1B1KB1P1/R2N2R1 b - - 0 1,0.251
